"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 02-Sep-2024"
"NIFTY 500","22,764.00","22,831.40","22,709.20","22,724.40","22,822.10","-","97.70","0.43","2,27,75,99,714","52,179.68","24,573.40","19,519.85","0.22","-4.36"
"TBOTEK","1,560.00","1,608.00","1,504.70","1,382.50","1,563.00","-","180.50","13.06","41,45,944","648.49","2,001.00","996.00","-2.32","-24.38"
"NETWEB","2,355.90","2,549.00","2,281.80","2,266.60","2,527.20","-","260.60","11.50","59,59,579","1,463.43","3,060.00","1,251.55","6.15","-18.65"
"NSLNISP","39.43","44.19","39.26","39.23","42.96","-","3.73","9.51","5,42,01,367","231.82","55.50","32.13","8.22","-26.34"
"OLAELEC","62.44","67.74","61.15","61.96","67.21","-","5.25","8.47","70,95,64,412","4,575.98","123.90","39.60","52.80","-46.09"
"PPLPHARMA","186.99","201.31","186.99","186.71","199.91","-","13.20","7.07","2,15,59,059","426.76","307.90","181.73","-2.07","-4.24"
"DBREALTY","171.14","179.80","170.35","170.31","179.80","-","9.49","5.57","8,96,849","15.72","252.67","115.11","-5.59","-11.83"
"TATASTEEL","158.40","167.73","158.40","158.39","167.00","-","8.61","5.44","6,43,84,394","1,060.86","170.18","122.62","3.52","3.60"
"INDIACEM","385.15","406.00","385.00","385.10","405.50","-","20.40","5.30","17,90,632","71.04","406.00","238.85","6.35","5.52"
"JINDALSTEL","973.00","1,025.50","973.00","975.15","1,024.45","-","49.30","5.06","34,85,661","351.18","1,073.70","723.35","3.14","1.02"
"SAIL","123.85","129.90","123.56","123.09","129.25","-","6.16","5.00","2,12,81,917","270.51","144.20","99.15","2.47","-7.57"
"TEJASNET","590.00","624.85","585.55","585.80","613.75","-","27.95","4.77","27,90,462","171.57","1,459.90","542.25","1.78","-56.35"
"HINDCOPPER","239.03","249.50","238.20","237.80","249.07","-","11.27","4.74","45,79,926","112.48","353.00","183.82","0.35","-25.84"
"AAVAS","1,527.10","1,619.80","1,527.10","1,528.30","1,600.80","-","72.50","4.74","5,52,631","88.17","2,234.00","1,516.90","-8.99","-10.60"
"WOCKPHARMA","1,426.50","1,484.00","1,417.10","1,415.10","1,477.90","-","62.80","4.44","4,41,467","64.43","1,868.80","915.00","-12.24","-"
"GLENMARK","1,938.00","2,006.00","1,929.00","1,918.80","2,003.00","-","84.20","4.39","11,15,161","220.76","2,284.80","1,275.50","-7.21","13.68"
"GMDCLTD","440.10","464.95","439.10","440.05","458.45","-","18.40","4.18","69,35,196","316.38","472.40","226.59","15.23","20.56"
"YESBANK","19.74","20.38","19.70","19.55","20.36","-","0.81","4.14","17,36,94,868","348.78","24.41","16.02","5.11","-18.10"
"RAYMONDLSL","1,200.00","1,284.40","1,186.60","1,190.60","1,238.00","-","47.40","3.98","4,55,282","56.45","3,100.00","911.35","1.64","-"
"ACMESOLAR","288.25","303.90","288.00","287.20","298.50","-","11.30","3.93","19,55,678","58.17","309.85","167.75","3.85","-"
"SYRMA","759.45","803.50","754.95","760.30","789.45","-","29.15","3.83","35,87,222","283.41","803.50","370.00","1.62","74.12"
"AWL","256.00","267.30","255.60","257.40","267.25","-","9.85","3.83","18,19,187","47.83","380.30","231.55","0.04","-31.60"
"POONAWALLA","425.95","443.00","424.00","425.75","441.90","-","16.15","3.79","7,02,085","30.58","483.40","267.20","1.53","9.67"
"SHYAMMETL","904.90","939.00","902.50","902.30","935.80","-","33.50","3.71","1,56,605","14.50","1,001.00","628.25","-7.80","12.50"
"ITI","303.40","322.00","303.00","301.90","313.05","-","11.15","3.69","39,46,651","124.74","592.70","210.00","5.61","-0.23"
"KPIL","1,224.00","1,268.70","1,220.20","1,223.50","1,266.30","-","42.80","3.50","1,73,177","21.62","1,449.00","786.30","9.12","-11.67"
"WELCORP","822.60","854.10","822.60","824.30","852.40","-","28.10","3.41","4,17,179","35.27","994.00","650.15","-8.16","18.06"
"LALPATHLAB","3,228.30","3,395.00","3,208.30","3,228.30","3,338.00","-","109.70","3.40","1,83,042","61.18","3,653.95","2,293.55","1.61","-4.75"
"NEULANDLAB","13,728.00","14,238.00","13,671.00","13,728.00","14,194.00","-","466.00","3.39","37,571","52.83","18,100.00","10,190.70","5.46","9.65"
"JMFINANCIL","183.69","193.00","183.69","183.25","189.33","-","6.08","3.32","1,00,49,990","190.61","199.80","80.20","20.62","69.74"
"SUMICHEM","574.80","595.00","568.55","570.95","589.85","-","18.90","3.31","3,35,607","19.75","665.00","446.20","-9.47","11.42"
"AJANTPHARM","2,492.70","2,568.70","2,447.00","2,480.00","2,561.70","-","81.70","3.29","1,75,839","43.91","3,485.00","2,327.30","-7.98","-22.56"
"EIHOTEL","400.90","417.50","400.90","398.05","411.00","-","12.95","3.25","19,15,693","78.93","441.75","305.00","5.77","5.64"
"SUNDARMFIN","4,329.90","4,478.80","4,329.90","4,305.30","4,441.80","-","136.50","3.17","88,868","39.35","5,535.85","3,925.05","-5.76","-13.34"
"SAILIFE","828.00","855.95","823.00","825.40","851.15","-","25.75","3.12","9,62,803","81.25","943.00","636.10","4.75","-"
"SBFC","104.30","108.31","104.30","104.05","107.26","-","3.21","3.09","26,13,633","28.09","120.50","77.61","2.67","24.03"
"LUPIN","1,899.00","1,949.00","1,875.00","1,889.70","1,946.80","-","57.10","3.02","4,39,074","84.36","2,402.90","1,795.20","1.20","-15.36"
"NATIONALUM","201.51","208.30","201.51","200.53","206.53","-","6.00","2.99","1,45,18,326","298.24","262.99","137.75","10.97","12.28"
"AFCONS","425.20","441.75","424.65","425.95","438.40","-","12.45","2.92","12,59,575","54.69","570.00","390.00","4.95","-"
"MMTC","62.87","65.60","62.81","62.87","64.65","-","1.78","2.83","7,42,059","4.77","101.65","44.50","-5.13","-36.99"
"HINDALCO","725.00","744.00","723.10","720.95","741.20","-","20.25","2.81","76,28,593","559.68","772.65","546.45","7.21","5.42"
"NH","1,774.80","1,820.00","1,757.00","1,766.30","1,816.00","-","49.70","2.81","2,19,420","39.47","2,370.20","1,185.00","-9.21","38.81"
"VIJAYA","1,028.00","1,079.00","1,028.00","1,030.70","1,059.00","-","28.30","2.75","5,03,190","52.86","1,275.00","740.00","-4.86","14.56"
"HEG","481.50","495.00","478.40","478.25","491.30","-","13.05","2.73","4,55,336","22.21","619.50","331.25","-10.20","-75.80"
"MUTHOOTFIN","2,709.50","2,780.00","2,709.50","2,698.70","2,771.90","-","73.20","2.71","8,59,609","237.51","2,807.00","1,756.05","4.09","37.34"
"JSWHL","17,996.00","18,550.00","17,978.00","17,898.00","18,379.00","-","481.00","2.69","1,934","3.54","27,740.00","7,102.00","-","149.90"
"KAYNES","6,573.00","6,792.00","6,573.00","6,573.00","6,748.50","-","175.50","2.67","6,26,486","420.83","7,822.00","3,825.15","3.16","40.97"
"JSWSTEEL","1,042.00","1,079.90","1,040.00","1,044.00","1,071.50","-","27.50","2.63","24,54,190","261.60","1,089.20","880.00","1.58","11.01"
"LATENTVIEW","414.20","427.35","414.05","414.20","425.00","-","10.80","2.61","1,57,188","6.63","520.25","341.20","3.12","-12.96"
"MEDANTA","1,399.80","1,454.00","1,395.10","1,390.40","1,426.60","-","36.20","2.60","6,38,550","91.36","1,456.50","935.50","3.96","23.08"
"LTF","223.03","227.94","222.19","221.93","227.65","-","5.72","2.58","65,86,902","148.59","227.94","129.20","10.34","29.89"
"GPIL","242.00","249.00","239.83","240.36","246.50","-","6.14","2.55","29,71,565","73.15","253.40","145.75","27.14","-74.02"
"JINDALSAW","205.00","212.10","204.15","205.26","210.49","-","5.23","2.55","13,96,153","29.25","383.85","196.02","-0.07","-70.06"
"APTUS","327.90","334.00","323.70","324.15","332.15","-","8.00","2.47","14,51,968","47.60","401.65","267.95","-4.24","0.82"
"IKS","1,496.00","1,543.40","1,492.20","1,496.80","1,533.80","-","37.00","2.47","1,54,070","23.47","2,189.00","1,236.80","-6.56","-"
"CHALET","1,005.80","1,039.90","1,005.00","1,004.10","1,028.90","-","24.80","2.47","1,82,629","18.79","1,082.00","634.05","12.78","17.34"
"LTFOODS","437.90","451.00","436.75","436.70","447.40","-","10.70","2.45","7,16,550","32.04","518.55","288.25","-8.45","13.47"
"COALINDIA","380.95","393.30","380.00","380.10","389.30","-","9.20","2.42","66,74,728","258.29","529.00","349.25","2.04","-27.02"
"KAJARIACER","1,209.80","1,240.00","1,204.00","1,209.80","1,238.40","-","28.60","2.36","2,55,347","31.23","1,578.70","758.70","2.22","-10.93"
"NAM-INDIA","796.60","816.50","795.60","790.25","808.65","-","18.40","2.33","6,02,594","48.84","887.90","498.05","-1.69","15.53"
"JUBLPHARMA","1,044.90","1,065.70","1,031.50","1,039.00","1,063.20","-","24.20","2.33","87,755","9.23","1,309.90","802.00","-10.31","14.30"
"MANAPPURAM","282.25","292.70","282.00","281.00","287.45","-","6.45","2.30","70,05,578","202.43","292.70","138.35","13.35","32.22"
"CHAMBLFERT","563.70","580.70","555.10","559.05","571.50","-","12.45","2.23","34,49,611","197.75","742.20","443.20","7.86","5.71"
"ALKYLAMINE","2,079.00","2,115.00","2,053.00","2,061.80","2,107.50","-","45.70","2.22","17,004","3.57","2,498.85","1,508.00","-11.89","-1.82"
"HYUNDAI","2,472.00","2,531.90","2,462.10","2,456.90","2,510.20","-","53.30","2.17","8,71,606","218.29","2,624.50","1,541.70","12.65","-"
"STARHEALTH","443.20","450.30","441.05","439.75","449.30","-","9.55","2.17","4,91,050","22.00","647.00","327.30","0.96","-29.10"
"NMDC","73.16","74.50","73.16","72.80","74.36","-","1.56","2.14","2,89,56,879","214.02","82.83","59.53","3.32","-66.36"
"GVT&D","2,750.00","2,850.00","2,745.00","2,752.90","2,811.80","-","58.90","2.14","1,92,226","54.09","2,959.00","1,254.00","-3.85","-"
"LEMONTREE","166.01","171.80","165.05","165.27","168.72","-","3.45","2.09","74,35,443","125.83","174.90","112.29","12.51","24.71"
"GRANULES","508.50","522.90","507.30","507.80","518.30","-","10.50","2.07","11,12,463","57.45","719.90","422.00","12.41","-25.74"
"PAYTM","1,260.00","1,289.40","1,256.00","1,257.90","1,283.50","-","25.60","2.04","35,02,645","446.32","1,291.60","583.60","16.86","106.94"
"POWERINDIA","18,950.00","19,275.00","18,940.00","18,815.00","19,192.00","-","377.00","2.00","59,069","113.06","21,800.00","8,801.00","-8.44","58.38"
"SYNGENE","637.30","650.40","634.10","635.65","648.30","-","12.65","1.99","4,77,192","30.69","960.60","599.55","-9.61","-26.69"
"NETWORK18","53.84","55.35","53.62","53.77","54.83","-","1.06","1.97","29,41,476","16.09","95.46","39.66","-6.44","-42.97"
"FORTIS","934.20","949.45","931.80","929.75","947.85","-","18.10","1.95","13,46,327","126.73","971.00","537.40","8.20","65.48"
"PNCINFRA","313.00","314.90","305.65","303.90","309.80","-","5.90","1.94","15,26,477","47.38","469.65","240.00","-3.89","-33.30"
"TITAN","3,605.00","3,690.00","3,590.00","3,620.60","3,690.00","-","69.40","1.92","5,73,380","210.00","3,867.00","2,925.00","9.19","0.92"
"HFCL","70.49","71.84","70.35","70.28","71.62","-","1.34","1.91","42,99,198","30.58","171.00","68.56","-4.07","-52.35"
